All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    barcode23.flye
# contigs (>= 0 bp)         14            
# contigs (>= 1000 bp)      9             
# contigs (>= 5000 bp)      0             
# contigs (>= 10000 bp)     0             
# contigs (>= 25000 bp)     0             
# contigs (>= 50000 bp)     0             
Total length (>= 0 bp)      28098         
Total length (>= 1000 bp)   24942         
Total length (>= 5000 bp)   0             
Total length (>= 10000 bp)  0             
Total length (>= 25000 bp)  0             
Total length (>= 50000 bp)  0             
# contigs                   14            
Largest contig              4785          
Total length                28098         
GC (%)                      39.91         
N50                         2860          
N90                         775           
auN                         3015.0        
L50                         4             
L90                         10            
# N's per 100 kbp           0.00          
