contigName	contigLen	totalAvgDepth	barcode20_long.sorted	barcode20_long.sorted-var
contig_1	29602	3.65788	3.65788	52.0468
contig_10	1780	0.693865	0.693865	2.21623
contig_11	3934	0	0	0
contig_12	5289	0	0	0
contig_14	3368	2.5926	2.5926	0.250815
contig_15	3068	8.47464	8.47464	1.02971
contig_17	3634	0.0614237	0.0614237	0.0852313
contig_2	681	0	0	0
contig_3	1339	0.465097	0.465097	0.248989
contig_5	2042	0	0	0
contig_6	2703	0	0	0
contig_7	1850	10.3929	10.3929	0.408189
contig_8	1688	2.90832	2.90832	0.311036
contig_9	711	3	3	0
