Sample	Mean read length_fastq	Mean read quality_fastq	Median read length_fastq	Median read quality_fastq	Number of reads_fastq	Read length N50_fastq	STDEV read length_fastq	Total bases_fastq	>Q10_fastq	>Q15_fastq	>Q20_fastq	>Q25_fastq	>Q30_fastq
barcode01.NanoStats	2598.9	13.3	1402.0	15.6	8807.0	5355.0	3529.7	22888489.0	7759.0	4873.0	1521.0	316.0	66.0
barcode02.NanoStats	480.5	9.7	166.5	11.1	8.0	2085.0	633.8	3844.0	5.0	2.0	0.0	0.0	0.0
barcode09.NanoStats	408.3	12.1	252.0	14.9	3.0	843.0	311.4	1225.0	2.0	1.0	0.0	0.0	0.0
barcode11.NanoStats	235.7	10.5	143.0	11.5	92.0	357.0	372.1	21682.0	57.0	27.0	5.0	1.0	1.0
barcode12.NanoStats	224.3	10.4	188.0	11.7	133.0	333.0	187.1	29830.0	83.0	40.0	9.0	4.0	2.0
barcode13.NanoStats	273.3	11.3	180.0	12.4	127.0	395.0	291.1	34714.0	94.0	38.0	12.0	3.0	0.0
barcode14.NanoStats	222.2	10.8	173.5	12.0	320.0	297.0	168.5	71104.0	227.0	86.0	33.0	11.0	2.0
barcode15.NanoStats	243.9	10.5	143.0	11.7	146.0	344.0	630.3	35608.0	102.0	30.0	11.0	0.0	0.0
barcode16.NanoStats	241.2	10.7	185.0	12.2	414.0	308.0	243.8	99877.0	288.0	116.0	36.0	9.0	1.0
barcode17.NanoStats	258.4	9.6	170.0	11.1	105.0	418.0	405.6	27132.0	64.0	18.0	4.0	0.0	0.0
barcode18.NanoStats	1373.4	11.2	415.0	13.0	5499.0	4927.0	3002.6	7552080.0	4080.0	1859.0	437.0	91.0	13.0
barcode19.NanoStats	3848.9	13.0	1767.0	15.4	3779.0	9260.0	5674.5	14544960.0	3234.0	2000.0	666.0	135.0	30.0
barcode20.NanoStats	2926.2	13.3	1464.0	15.7	6150.0	6511.0	4301.2	17996316.0	5377.0	3447.0	1123.0	186.0	32.0
barcode21.NanoStats	3114.1	12.9	1385.0	15.1	6921.0	7374.0	4754.5	21552715.0	5902.0	3535.0	1014.0	193.0	32.0
barcode22.NanoStats	2480.8	12.3	1059.5	14.9	4380.0	6124.0	3827.1	10866000.0	3607.0	2137.0	659.0	120.0	34.0
barcode23.NanoStats	3126.5	12.9	1568.0	15.2	5950.0	6844.0	4268.9	18602955.0	5087.0	3076.0	921.0	166.0	41.0
barcode24.NanoStats	3166.3	12.4	1457.0	14.8	3034.0	7589.0	4441.1	9606655.0	2476.0	1467.0	446.0	90.0	25.0
