Sample	Median length	Mean length	Read N50	Median Qual	Mean Qual	# Reads (K)	Total Bases (Mb)
barcode01.NanoStats	1402.0	2598.9	5355.0	15.6	13.3	8.807	22.888489
barcode02.NanoStats	166.5	480.5	2085.0	11.1	9.7	0.008	0.0038439999999999998
barcode09.NanoStats	252.0	408.3	843.0	14.9	12.1	0.003	0.001225
barcode11.NanoStats	143.0	235.7	357.0	11.5	10.5	0.092	0.021682
barcode12.NanoStats	188.0	224.3	333.0	11.7	10.4	0.133	0.02983
barcode13.NanoStats	180.0	273.3	395.0	12.4	11.3	0.127	0.034714
barcode14.NanoStats	173.5	222.2	297.0	12.0	10.8	0.32	0.071104
barcode15.NanoStats	143.0	243.9	344.0	11.7	10.5	0.146	0.035608
barcode16.NanoStats	185.0	241.2	308.0	12.2	10.7	0.41400000000000003	0.099877
barcode17.NanoStats	170.0	258.4	418.0	11.1	9.6	0.105	0.027132
barcode18.NanoStats	415.0	1373.4	4927.0	13.0	11.2	5.4990000000000006	7.552079999999999
barcode19.NanoStats	1767.0	3848.9	9260.0	15.4	13.0	3.779	14.54496
barcode20.NanoStats	1464.0	2926.2	6511.0	15.7	13.3	6.15	17.996316
barcode21.NanoStats	1385.0	3114.1	7374.0	15.1	12.9	6.921	21.552715
barcode22.NanoStats	1059.5	2480.8	6124.0	14.9	12.3	4.38	10.866
barcode23.NanoStats	1568.0	3126.5	6844.0	15.2	12.9	5.95	18.602954999999998
barcode24.NanoStats	1457.0	3166.3	7589.0	14.8	12.4	3.0340000000000003	9.606655
